transaction_id,sender_id,receiver_id,amount,timestamp
T196,N043,N226,340,2025-02-01 15:45:00
T197,N048,N265,900,2025-02-01 11:50:00
T198,N059,N196,900,2025-02-02 17:07:00
T199,N032,N174,120,2025-02-01 16:40:00
T200,N012,N230,250,2025-02-02 02:13:00
T201,N144,N298,120,2025-02-01 11:50:00
T202,N063,N300,340,2025-02-02 08:18:00
T203,N023,N256,120,2025-02-01 22:55:00
T204,N054,N291,1500,2025-02-02 15:33:00
T205,N072,N228,480,2025-02-01 23:35:00
T206,N071,N151,120,2025-02-02 01:57:00
T207,N116,N293,120,2025-02-02 12:28:00
T208,N146,N194,1500,2025-02-01 19:33:00
T209,N010,N195,120,2025-02-02 01:45:00
T210,N013,N247,250,2025-02-01 09:05:00
T211,N036,N198,1500,2025-02-02 13:09:00
T212,N067,N266,480,2025-02-01 22:15:00
T213,N082,N174,1500,2025-02-02 12:36:00
T214,N083,N264,340,2025-02-01 15:18:00
T215,N054,N164,1500,2025-02-01 19:22:00
T216,N010,N267,900,2025-02-02 06:48:00
T217,N120,N209,900,2025-02-02 05:21:00
T218,N126,N196,900,2025-02-01 18:12:00
T219,N073,N219,120,2025-02-01 20:31:00
T220,N122,N172,1500,2025-02-02 05:38:00
T221,N030,N209,900,2025-02-01 22:17:00
T222,N048,N203,900,2025-02-01 23:36:00
T223,N126,N175,900,2025-02-02 04:13:00
T224,N148,N157,120,2025-02-01 22:45:00
T225,N082,N263,1500,2025-02-01 14:36:00
T226,S001,S002,500,2025-02-01 19:00:00
T227,S002,S003,500,2025-02-01 19:05:00
T228,S003,S004,500,2025-02-01 19:10:00
T229,S004,S005,500,2025-02-01 19:15:00
T230,S005,S006,500,2025-02-01 19:20:00
T231,S006,S007,500,2025-02-01 19:25:00
T232,S007,S008,500,2025-02-01 19:30:00
T233,S008,S009,500,2025-02-01 19:35:00
T234,S009,S010,500,2025-02-01 19:40:00
T235,S010,S011,500,2025-02-01 19:45:00
T236,S011,S012,500,2025-02-01 19:50:00
T237,S012,S013,500,2025-02-01 19:55:00
T238,S013,S014,500,2025-02-01 20:00:00
T239,S014,S015,500,2025-02-01 20:05:00
T240,S015,S016,500,2025-02-01 20:10:00
T241,S016,S017,500,2025-02-01 20:15:00
T242,S017,S018,500,2025-02-01 20:20:00
T243,S018,S019,500,2025-02-01 20:25:00
T244,S019,S020,500,2025-02-01 20:30:00
T245,S020,S021,500,2025-02-01 20:35:00
T246,C001,C002,700,2025-02-01 19:00:00
T247,C002,C003,700,2025-02-01 19:03:00
T248,C003,C004,700,2025-02-01 19:06:00
T249,C004,C001,700,2025-02-01 19:09:00
T250,C001,C002,700,2025-02-01 19:12:00
T251,C002,C003,700,2025-02-01 19:15:00
T252,C003,C004,700,2025-02-01 19:18:00
T253,C004,C001,700,2025-02-01 19:21:00
T254,C001,C002,700,2025-02-01 19:24:00
T255,C002,C003,700,2025-02-01 19:27:00
T256,C003,C004,700,2025-02-01 19:30:00
T257,C004,C001,700,2025-02-01 19:33:00
T258,C001,C002,700,2025-02-01 19:36:00
T259,C002,C003,700,2025-02-01 19:39:00
T260,C003,C004,700,2025-02-01 19:42:00
T261,C004,C001,700,2025-02-01 19:45:00
T262,C001,C002,700,2025-02-01 19:48:00
T263,C002,C003,700,2025-02-01 19:51:00
T264,C003,C004,700,2025-02-01 19:54:00
T265,C004,C001,700,2025-02-01 19:57:00
T266,M001,H001,72,2025-02-01 19:00:00
T267,M002,H001,94,2025-02-01 19:02:00
T268,M003,H001,103,2025-02-01 19:04:00
T269,M004,H001,96,2025-02-01 19:06:00
T270,M005,H001,62,2025-02-01 19:08:00
T271,M006,H001,58,2025-02-01 19:10:00
T272,M007,H001,114,2025-02-01 19:12:00
T273,M008,H001,56,2025-02-01 19:14:00
T274,M009,H001,53,2025-02-01 19:16:00
T275,M010,H001,69,2025-02-01 19:18:00
T276,M011,H001,119,2025-02-01 19:20:00
T277,M012,H001,79,2025-02-01 19:22:00
T278,M013,H001,106,2025-02-01 19:24:00
T279,M014,H001,58,2025-02-01 19:26:00
T280,M015,H001,111,2025-02-01 19:28:00
T281,M016,H001,78,2025-02-01 19:30:00
T282,M017,H001,89,2025-02-01 19:32:00
T283,M018,H001,94,2025-02-01 19:34:00
T284,M019,H001,96,2025-02-01 19:36:00
T285,M020,H001,95,2025-02-01 19:38:00
T286,M021,H001,53,2025-02-01 19:40:00
T287,M022,H001,61,2025-02-01 19:42:00
T288,M023,H001,119,2025-02-01 19:44:00
T289,M024,H001,108,2025-02-01 19:46:00
T290,M025,H001,120,2025-02-01 19:48:00
T291,M026,H001,81,2025-02-01 19:50:00
T292,M027,H001,89,2025-02-01 19:52:00
T293,M028,H001,112,2025-02-01 19:54:00
T294,M029,H001,83,2025-02-01 19:56:00
T295,M030,H001,83,2025-02-01 19:58:00
T296,M031,H001,90,2025-02-01 20:00:00
T297,M032,H001,86,2025-02-01 20:02:00
T298,M033,H001,67,2025-02-01 20:04:00
T299,M034,H001,120,2025-02-01 20:06:00
T300,M035,H001,79,2025-02-01 20:08:00
